name,au,country,status,lat,lng,geometry
Oulujoki,Northeastern Bothnian Bay,Finland,Reared,65.02147222360922,25.490856994953447,POINT(25.4908569949534 65.0214722236092)
Iijoki,Northeastern Bothnian Bay,Finland,Reared,65.33347358518917,25.293963807426337,POINT(25.2939638074263 65.3334735851892)
Simojoki,Northeastern Bothnian Bay,Finland,Wild,65.62244773551924,25.04883030786624,POINT(25.0488303078662 65.6224477355192)
Kemijoki,Northeastern Bothnian Bay,Finland,Reared,65.79616166951887,24.556164112085582,POINT(24.5561641120856 65.7961616695189)
Tornionjoki,Northeastern Bothnian Bay,Sweden/Finland,Wild,65.81543814455779,24.154132800906268,POINT(24.1541328009063 65.8154381445578)
Kalixalven,Northeastern Bothnian Bay,Sweden,Wild,65.8321702329547,23.18733595643579,POINT(23.1873359564358 65.8321702329547)
Ranealven,Northeastern Bothnian Bay,Sweden,Wild,65.84551997116758,22.316325488654115,POINT(22.3163254886541 65.8455199711676)
Lulealven,Western Bothnian Bay,Sweden,Reared,65.55860183658571,22.180713746655613,POINT(22.1807137466556 65.5586018365857)
Pitealven,Western Bothnian Bay,Sweden,Wild,65.36483342533025,21.320346798886646,POINT(21.3203467988866 65.3648334253302)
Abyalven,Western Bothnian Bay,Sweden,Wild,65.0154912174542,21.395533614079397,POINT(21.3955336140794 65.0154912174542)
Byskealven,Western Bothnian Bay,Sweden,Wild,64.9453229464025,21.227646521687063,POINT(21.2276465216871 64.9453229464025)
Kagealven,Western Bothnian Bay,Sweden,Wild,64.83123933160277,21.00465895455153,POINT(21.0046589545515 64.8312393316028)
Skelleftealven,Western Bothnian Bay,Sweden,Reared,64.70607405532289,21.158296450631724,POINT(21.1582964506317 64.7060740553229)
Ricklean,Western Bothnian Bay,Sweden,Wild,64.08263053605964,20.942473818257895,POINT(20.9424738182579 64.0826305360596)
Savaran,Western Bothnian Bay,Sweden,Wild,63.80625078463847,20.565548934236745,POINT(20.5655489342367 63.8062507846385)
Umealven,Western Bothnian Bay,Sweden,Reared,63.778693947322765,20.311320898053452,POINT(20.3113208980535 63.7786939473228)
Vindealven,Western Bothnian Bay,Sweden,Wild,63.77778377136788,20.31509668510654,POINT(20.3150966851065 63.7777837713679)
Orealven,Western Bothnian Bay,Sweden,Wild,63.52617752502153,19.729987125219736,POINT(19.7299871252197 63.5261775250215)
Logdealven,Western Bothnian Bay,Sweden,Wild,63.55776474200046,19.429322176601545,POINT(19.4293221766015 63.5577647420005)
Gidealven,Bothnian Sea,Sweden,Reared,63.33056367773111,19.135439693961814,POINT(19.1354396939618 63.3305636777311)
Angermanalven,Bothnian Sea,Sweden,Reared,63.02375046332526,17.781889374692696,POINT(17.7818893746927 63.0237504633253)
Indalsalven,Bothnian Sea,Sweden,Reared,62.5026501078935,17.46311572853199,POINT(17.463115728532 62.5026501078935)
Ljungan,Bothnian Sea,Sweden,Wild,62.31740784345999,17.381748855170827,POINT(17.3817488551708 62.31740784346)
Ljusnan,Bothnian Sea,Sweden,Reared,61.20526841344717,17.129059728700668,POINT(17.1290597287007 61.2052684134472)
Dalalven,Bothnian Sea,Sweden,Reared,60.638267223378406,17.445947785229066,POINT(17.4459477852291 60.6382672233784)
Testeboan,Bothnian Sea,Sweden,Wild,60.691124242810474,17.157426266413495,POINT(17.1574262664135 60.6911242428105)
Kokemaenjoki,Bothnian Sea,Finland,Reared,61.56334776609152,21.660577866387882,POINT(21.6605778663879 61.5633477660915)
Eman,Western Main Basin,Sweden,Wild,57.12983464122004,16.502924441933885,POINT(16.5029244419339 57.12983464122)
Morrumsan,Western Main Basin,Sweden,Wild,56.1566529293358,14.747214578458966,POINT(14.747214578459 56.1566529293358)
Odra,Eastern Main Basin,Poland,Reared,53.596376268392554,14.589157104492244,POINT(14.5891571044922 53.5963762683926)
Pärnu,Eastern Main Basin,Estonia,Mixed,58.380478544292686,24.478912353515682,POINT(24.4789123535157 58.3804785442927)
Salaca,Eastern Main Basin,Latvia,Wild,57.75290790042522,24.363555908203125,POINT(24.3635559082031 57.7529079004252)
Vitrupe,Eastern Main Basin,Latvia,Wild,57.63708585230555,24.376516342163143,POINT(24.3765163421631 57.6370858523056)
Gauja,Eastern Main Basin,Latvia,Mixed,57.15598204124894,24.271888732910213,POINT(24.2718887329102 57.1559820412489)
Peterupe,Eastern Main Basin,Latvia,Wild,57.260711935236976,24.41479682922369,POINT(24.4147968292237 57.260711935237)
Daugava,Eastern Main Basin,Latvia,Mixed,57.05548270527997,24.039630889892635,POINT(24.0396308898926 57.05548270528)
Irbe,Eastern Main Basin,Latvia,Wild,57.6352021213412,22.132472991943416,POINT(22.1324729919434 57.6352021213412)
Venta,Eastern Main Basin,Latvia,Mixed,57.39068648852797,21.585388183593807,POINT(21.5853881835938 57.390686488528)
Uzava,Eastern Main Basin,Latvia,Wild,57.2418146735281,21.416473388671932,POINT(21.4164733886719 57.2418146735281)
Saka,Eastern Main Basin,Latvia,Wild,56.88776819455234,21.178121566772518,POINT(21.1781215667725 56.8877681945523)
Barta,Eastern Main Basin,Latvia,Wild,56.39594946397279,21.035041809082088,POINT(21.0350418090821 56.3959494639728)
Minija,Eastern Main Basin,Lithuania,Mixed,55.351841880724464,21.283178329467773,POINT(21.2831783294678 55.3518418807245)
Jura,Eastern Main Basin,Lithuania,Reared,55.04897415890451,22.134361267089844,POINT(22.1343612670898 55.0489741589045)
Nemunas,Eastern Main Basin,Lithuania,Mixed,55.29372992560857,21.383943557739315,POINT(21.3839435577393 55.2937299256086)
Vistula,Eastern Main Basin,Poland,Reared,54.338546225847914,18.94163131713873,POINT(18.9416313171387 54.3385462258479)
Zeimena,Eastern Main Basin,Lithuania,Wild,54.900488003437,25.640974044799805,POINT(25.6409740447998 54.900488003437)
Reda,Eastern Main Basin,Poland,Reared,54.643297100710505,18.459219932556152,POINT(18.4592199325562 54.6432971007105)
Leba,Eastern Main Basin,Poland,Reared,54.7653815988351,17.5510454177857,POINT(17.5510454177857 54.7653815988351)
Slupia,Eastern Main Basin,Poland,Reared,54.58779338800397,16.853327751159725,POINT(16.8533277511597 54.587793388004)
Wieprza,Eastern Main Basin,Poland,Reared,54.438102809740165,16.382846832275447,POINT(16.3828468322754 54.4381028097402)
Parseta,Eastern Main Basin,Poland,Reared,54.18021968934822,15.55406570434576,POINT(15.5540657043458 54.1802196893482)
Rega,Eastern Main Basin,Poland,Reared,54.1429815053179,15.286960601806697,POINT(15.2869606018067 54.1429815053179)
